contact_number,source,source_id,sheet
1,amazon_reviews_2023,B009DAHKNI,accepted_01.png
2,amazon_reviews_2023,B019OYU4NK,accepted_01.png
3,amazon_reviews_2023,B08KW2KC8W,accepted_01.png
4,amazon_reviews_2023,B07SB54HFL,accepted_01.png
5,amazon_reviews_2023,B075JBQ916,accepted_01.png
6,amazon_reviews_2023,B0893C3QRM,accepted_01.png
7,amazon_reviews_2023,B08JL7CV7Y,accepted_01.png
8,amazon_reviews_2023,B096FBT3R8,accepted_01.png
9,amazon_reviews_2023,B07R511SJJ,accepted_01.png
10,amazon_reviews_2023,B087X3X7LS,accepted_01.png
11,amazon_reviews_2023,B015FNKUBK,accepted_01.png
12,amazon_reviews_2023,B00GTHJLG2,accepted_01.png
13,amazon_reviews_2023,B07CR9JFGJ,accepted_01.png
14,amazon_reviews_2023,B084Q135JG,accepted_01.png
15,amazon_reviews_2023,B09TKVLCTV,accepted_01.png
16,amazon_reviews_2023,B08FG1G9FT,accepted_01.png
17,flipkart_party,SHOEARZJRN6RGQR6,accepted_01.png
18,flipkart_party,SNDE33WXXFHJUZPD,accepted_01.png
19,flipkart_party,BRAEBKJSNVGDG4DP,accepted_01.png
20,flipkart_party,SHTE644DZWTFY6KD,accepted_01.png
21,flipkart_party,SHOE4K54VP44KTZK,accepted_02.png
22,flipkart_party,TSHE44QJ9ZN7V7AT,accepted_02.png
23,flipkart_party,TOPEFGG8TJGJ7QDT,accepted_02.png
24,flipkart_party,SNDEDFYPJFHXG98W,accepted_02.png
25,flipkart_party,SHTE4ZP5ZXGGJ5FN,accepted_02.png
26,flipkart_party,SNDE6BQFXAGRVGF5,accepted_02.png
27,flipkart_party,SNDEJRB4D4RDAN6E,accepted_02.png
28,flipkart_party,TOPEGBSUC8JDVQVY,accepted_02.png
29,flipkart_party,DREE6TUDFCEGGVWM,accepted_02.png
30,flipkart_party,SHTE93RYMXUU7P6Q,accepted_02.png
31,flipkart_party,SNDEF3R3VB55PJBX,accepted_02.png
32,flipkart_party,SHTDZWNYZFV33BAX,accepted_02.png
33,flipkart_party,BRAED6G63H64TSXJ,accepted_02.png
34,flipkart_party,BRAED6G6TVPF94CV,accepted_02.png
35,flipkart_party,BRAEDASWQDSYNUV3,accepted_02.png
36,flipkart_party,SNDEHZKGKGHDFG57,accepted_02.png
37,flipkart_party,TOPEAP5VYCZKFHB3,accepted_02.png
38,flipkart_party,SHTEFUMGZHHHKKQZ,accepted_02.png
39,flipkart_party,SHODX6XYJXS2YXFY,accepted_02.png
40,flipkart_party,CAPE8HYQSXRDAGGC,accepted_02.png
41,flipkart_party,SNDEBR4ETGGZWASZ,accepted_03.png
42,flipkart_party,SHOEGKU9SUZRXPHY,accepted_03.png
43,flipkart_party,TOPED77KRHWBGGN6,accepted_03.png
44,flipkart_party,SNDEDB2FPSNFBUTU,accepted_03.png
45,flipkart_party,SHTE4Q74EEHQJZQB,accepted_03.png
46,flipkart_party,SHOE9YD3REFDCPBR,accepted_03.png
47,flipkart_party,BRAEAEGMZCHVXWXU,accepted_03.png
48,flipkart_party,BRAEBG4DCHJMRYZZ,accepted_03.png
49,flipkart_party,BRAEBGGV3NPZHAGQ,accepted_03.png
50,flipkart_party,BRAEBGGVYKJZAZYV,accepted_03.png
51,flipkart_party,SNDEY4AKUX9BWZFG,accepted_03.png
52,flipkart_party,SNDEDSCEVHNXMTKU,accepted_03.png
53,flipkart_party,TOPE8E8NZP256K8G,accepted_03.png
54,flipkart_party,SHTE2FCTN7MYJCUW,accepted_03.png
55,flipkart_party,SHTE5YHGMHQZHD8E,accepted_03.png
56,flipkart_party,SNDEF3HVZW4NPVCN,accepted_03.png
57,flipkart_party,TOPEA6CKCHFHTUZ9,accepted_03.png
58,flipkart_party,SNDE5PJGURDFBURG,accepted_03.png
59,flipkart_party,SNDEJGWQSWNHXXA3,accepted_03.png
60,flipkart_party,TOPEBR5GNG9MACAD,accepted_03.png
61,flipkart_party,KTAEJHDKFWHH7YC8,accepted_04.png
62,flipkart_party,TOPE494XPFCSZA6H,accepted_04.png
63,flipkart_party,TOPEHZNP4QZHVTDW,accepted_04.png
64,flipkart_party,SNDE9HRW9ZVPG9A6,accepted_04.png
65,flipkart_party,SHTEDFFJMHZWSYT2,accepted_04.png
66,flipkart_party,SHODX6XFHPZUHNDX,accepted_04.png
67,flipkart_party,SNDE6AKUC72HPWZF,accepted_04.png
68,flipkart_party,TOPECCMNG24UGAHX,accepted_04.png
69,flipkart_party,SHTE6SDPZKKHZWK4,accepted_04.png
70,flipkart_party,SNDE5PJGWDSXSDQN,accepted_04.png
71,flipkart_party,SHTDUS8RJ7ZBDSBK,accepted_04.png
72,flipkart_party,SHODX5QPXCXZZQHC,accepted_04.png
73,flipkart_party,SNDE7RMR597YAKXB,accepted_04.png
74,flipkart_party,SHTE3WVSJMHBAKUA,accepted_04.png
75,flipkart_party,TOPECAE3JJMVYJFF,accepted_04.png
76,flipkart_party,SARE86DZPAVZZ8S5,accepted_04.png
77,flipkart_party,SNDEE5FMQ5YQAKMZ,accepted_04.png
78,flipkart_party,DREE7UE3SH2GGG2F,accepted_04.png
79,flipkart_party,SHOED36FPJ9WYBJK,accepted_04.png
80,flipkart_party,SNDE7NSTNHAEACGG,accepted_04.png
81,flipkart_party,BRAE9Y5V963WTTNW,accepted_05.png
82,flipkart_party,BRAEA7GBCCF5TVAF,accepted_05.png
83,flipkart_party,BRAEA7GBQR7ZZN4K,accepted_05.png
84,flipkart_party,SNDEDAPKZGGEGYHV,accepted_05.png
85,flipkart_party,TOPE9T8FXVBGHGQS,accepted_05.png
86,flipkart_party,TOPEYHHWTQ59WEHB,accepted_05.png
87,flipkart_party,SHTE4S27GR2WA6DD,accepted_05.png
88,flipkart_party,LEHEGGEHYN4G2RPW,accepted_05.png
89,flipkart_party,BRAEA7W7HPFRZUJG,accepted_05.png
90,flipkart_party,SHTE89H7YX7GFGUZ,accepted_05.png
91,flipkart_party,SNDEARQA4U9GY6TG,accepted_05.png
92,flipkart_party,SHOEDTP4GJZGKCFS,accepted_05.png
93,flipkart_party,TOPE9RCYS54YZNFG,accepted_05.png
94,flipkart_party,DREE9HZGGRRHS2SW,accepted_05.png
95,flipkart_party,TOPDUEGZGBPZHJKQ,accepted_05.png
96,flipkart_party,BRAECHF3WZHZBQX2,accepted_05.png
97,flipkart_party,SNDECCCGM2TCHBWG,accepted_05.png
98,flipkart_party,BRAEAHFYFKDVDY8F,accepted_05.png
99,flipkart_party,TOPE6Y9NZYXUSA3R,accepted_05.png
100,flipkart_party,SHOECFF6RGVPAVP8,accepted_05.png
101,flipkart_party,SHTE8VQHTDXGV5TM,accepted_06.png
102,flipkart_party,SNDEHZQ7YZAHAZYP,accepted_06.png
103,flipkart_party,TOPEHZNZ9YZYYAPU,accepted_06.png
104,flipkart_party,BZREHJ6ZXZ9YWZFB,accepted_06.png
105,flipkart_party,SUIEHFNUU3BDCGZN,accepted_06.png
106,flipkart_party,TOPDYTMFQNAGZVNG,accepted_06.png
107,flipkart_party,TOPECH4FHGAQXFDH,accepted_06.png
108,flipkart_party,TOPE4QK44FNX6PY5,accepted_06.png
109,flipkart_party,TOPEHZNPUWSFVHKM,accepted_06.png
110,flipkart_party,TOPE9ZZ8SGT9ENVF,accepted_06.png
111,flipkart_party,SNDEB2DMZXGFA9YM,accepted_06.png
112,flipkart_party,SHTE5YHGZVA9HB2Y,accepted_06.png
113,flipkart_party,SNDEDKKXNZZMDVAE,accepted_06.png
114,Amazon Berkeley Objects,B07116WMZ5,accepted_06.png
115,Amazon Berkeley Objects,B07116WPHF,accepted_06.png
116,Amazon Berkeley Objects,B0713SKPF5,accepted_06.png
117,Amazon Berkeley Objects,B071RN7KNH,accepted_06.png
118,Amazon Berkeley Objects,B07255FKTS,accepted_06.png
