id_1,id_2,role_1,role_2,dhash_distance,ahash_distance,is_exact_sha256,cross_role,mse,mae,max_difference,crop_mse,crop_mae,foreground_fraction_1,foreground_fraction_2,foreground_ratio,meets_automatic_rule,decision,accepted_near_duplicate,gender_1,gender_2,usage_1,usage_2,product_family_group_1,product_family_group_2,cv_fold_1,cv_fold_2,path_1,path_2
8719,9607,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.53979167,0.53979167,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_c654c9bdea4e3a0c,family_c654c9bdea4e3a0c,0,0,data/raw/teacher/train/images_train/8719.jpg,data/raw/teacher/train/images_train/9607.jpg
8720,9608,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.53791667,0.53791667,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_349f380bbe13b1ef,family_349f380bbe13b1ef,1,1,data/raw/teacher/train/images_train/8720.jpg,data/raw/teacher/train/images_train/9608.jpg
8723,9612,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.47125,0.47125,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_ac318667d6bd61a1,family_ac318667d6bd61a1,4,4,data/raw/teacher/train/images_train/8723.jpg,data/raw/teacher/train/images_train/9612.jpg
8729,9621,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.52416667,0.52416667,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_8fec0b61c7f14b3e,family_8fec0b61c7f14b3e,1,1,data/raw/teacher/train/images_train/8729.jpg,data/raw/teacher/train/images_train/9621.jpg
8730,9622,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.52270833,0.52270833,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_c0eebcc04e028535,family_c0eebcc04e028535,0,0,data/raw/teacher/train/images_train/8730.jpg,data/raw/teacher/train/images_train/9622.jpg
8731,9624,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.50083333,0.50083333,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_ef5a53caa771d82d,family_ef5a53caa771d82d,3,3,data/raw/teacher/train/images_train/8731.jpg,data/raw/teacher/train/images_train/9624.jpg
8735,9639,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.50708333,0.50708333,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_8fec0b61c7f14b3e,family_8fec0b61c7f14b3e,1,1,data/raw/teacher/train/images_train/8735.jpg,data/raw/teacher/train/images_train/9639.jpg
8737,9641,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.53541667,0.53541667,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_e2586a77540bb565,family_e2586a77540bb565,3,3,data/raw/teacher/train/images_train/8737.jpg,data/raw/teacher/train/images_train/9641.jpg
8738,9643,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.54291667,0.54291667,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_59a87c2b524031c7,family_59a87c2b524031c7,1,1,data/raw/teacher/train/images_train/8738.jpg,data/raw/teacher/train/images_train/9643.jpg
8748,9627,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.49791667,0.49791667,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_de1d3f561759a669,family_de1d3f561759a669,0,0,data/raw/teacher/train/images_train/8748.jpg,data/raw/teacher/train/images_train/9627.jpg
8775,9617,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.51541667,0.51541667,1.0,True,accepted_exact_sha256,True,Men,Men,Casual,Casual,family_75742312a16b5f8c,family_75742312a16b5f8c,2,2,data/raw/teacher/train/images_train/8775.jpg,data/raw/teacher/train/images_train/9617.jpg
8788,9613,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.48104167,0.48104167,1.0,True,accepted_exact_sha256,True,Men,Men,Formal,Formal,family_4e73c2f8ac0aab15,family_4e73c2f8ac0aab15,4,4,data/raw/teacher/train/images_train/8788.jpg,data/raw/teacher/train/images_train/9613.jpg
8789,9633,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.49791667,0.49791667,1.0,True,accepted_exact_sha256,True,Men,Men,Formal,Formal,family_73aead174bee37c1,family_73aead174bee37c1,0,0,data/raw/teacher/train/images_train/8789.jpg,data/raw/teacher/train/images_train/9633.jpg
8790,9634,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.50166667,0.50166667,1.0,True,accepted_exact_sha256,True,Men,Men,Formal,Formal,family_e89ff6fbc72de7c3,family_e89ff6fbc72de7c3,3,3,data/raw/teacher/train/images_train/8790.jpg,data/raw/teacher/train/images_train/9634.jpg
8791,9635,labelled,labelled,0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.51020833,0.51020833,1.0,True,accepted_exact_sha256,True,Men,Men,Formal,Formal,family_73aead174bee37c1,family_73aead174bee37c1,0,0,data/raw/teacher/train/images_train/8791.jpg,data/raw/teacher/train/images_train/9635.jpg
