run_id,task,stage,experiment_id,model_family,benchmark_only,final_eligible,scratch,fold,seed,git_commit,git_dirty,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id,loss_id,epochs_requested,epochs_completed,best_epoch,primary_metric_name,primary_metric_value,metrics,runtime_seconds,peak_vram_mb,parameter_count,checkpoint_path,checkpoint_sha256,prediction_path,prediction_sha256,history_path,history_sha256,status,error_type,error_message,started_at_utc,finished_at_utc,runtime
task1-cnn-task1_rgb_60x80_no_aug_v1-f0-s2753-adddd384dc63,task1,smoke,task1-cnn-task1_rgb_60x80_no_aug_v1,task1_small_cnn_v1,false,false,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,5e205a09464ed04400134120146b22e98ceb7c4fbbd6745386f9ad51e355c984,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c3b2d61de4bc01e141992db336308473e0976376314a3263cff993bbca92b034,task1_rgb_60x80_no_aug_v1,cross_entropy_unweighted_v1,1,1,1,macro_f1_124,0.0015608740894901144,"{""macro_f1"":0.0015608740894901144,""top1_accuracy"":0.09375,""top5_accuracy"":0.1875,""validation_loss"":4.764331579208374,""weighted_f1"":0.01814516129032258}",3.035816199999317,212.44384765625,475516,results/task1/task1-cnn-task1_rgb_60x80_no_aug_v1-f0-s2753-adddd384dc63/checkpoint.pt,88203ac24c5367be5507d2448aa6a62178614245b4944c62e20ef92d1d1d1278,results/task1/task1-cnn-task1_rgb_60x80_no_aug_v1-f0-s2753-adddd384dc63/predictions.csv,82600df8bb721567b4586159966d0a22ddd0d10f0ad70f5213be6144e553117d,results/task1/task1-cnn-task1_rgb_60x80_no_aug_v1-f0-s2753-adddd384dc63/history.csv,77e8ecc329e495290ab4c3ca841e3321c6f5f66c67557d80d657b4ef1c6cf9b2,completed,,,2026-09-02T07:58:22Z,2026-09-02T07:58:25Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\.cache\\codex-runtimes\\codex-primary-runtime\\dependencies\\python\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.13"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-ffc255aa33fd,task1,smoke,task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance,task1_hog_knn_v1,false,false,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,399e24e17eeaa4430684bb02c021ddf0a37a832f1585513cc83dabf5470d4e2f,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c9cdbeea0e198c6017262056baaaf00a75d455bbcb42402169b799377d6a7760,task1_gray_hog_ppc16_v1,not_applicable,,,,macro_f1_124,0.03955104035749196,"{""macro_f1"":0.03955104035749196,""top1_accuracy"":0.65625,""top5_accuracy"":0.90625,""weighted_f1"":0.6453192640692641}",1.0214038000012806,,,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-ffc255aa33fd/model.pkl,810b82907e4ddd81c0bbe47686d72f108a120a078e97f3146d789776f9d7380d,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-ffc255aa33fd/predictions.csv,299ec77f8c0245c992d83684f588b1b0f93e3720837327bf5901d72113040166,,,completed,,,2026-09-02T07:58:40Z,2026-09-02T07:58:42Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\.cache\\codex-runtimes\\codex-primary-runtime\\dependencies\\python\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.13"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-1b022c8f99b0,task1,smoke,task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal,task1_hog_linear_svm_v1,false,false,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,2d7e363126341c853f784ad45b6ab422b0a80217484420f4a48b8d9caab0894a,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c9cdbeea0e198c6017262056baaaf00a75d455bbcb42402169b799377d6a7760,task1_gray_hog_ppc16_v1,not_applicable,,,,macro_f1_124,0.04071087216248506,"{""macro_f1"":0.04071087216248506,""top1_accuracy"":0.6875,""top5_accuracy"":0.90625,""weighted_f1"":0.6123842592592592}",0.46628339999915625,,,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-1b022c8f99b0/model.pkl,fbf146cfa8fcb3e4edb80d44d3f695ffe4383c8d26ba0b2d170836961a817137,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-1b022c8f99b0/predictions.csv,d343ba8105b44e48a3df8beb2e36ec9d3ae53cc920f591eecf8906f66f1328af,,,completed,,,2026-09-02T07:58:42Z,2026-09-02T07:58:42Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\.cache\\codex-runtimes\\codex-primary-runtime\\dependencies\\python\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.13"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-cnn-task1_rgb_60x80_no_aug_v1-f0-s2753-b1eeefd8c735,task1,smoke,task1-cnn-task1_rgb_60x80_no_aug_v1,task1_small_cnn_v1,false,false,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,5e205a09464ed04400134120146b22e98ceb7c4fbbd6745386f9ad51e355c984,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c3b2d61de4bc01e141992db336308473e0976376314a3263cff993bbca92b034,task1_rgb_60x80_no_aug_v1,cross_entropy_unweighted_v1,1,1,1,macro_f1_124,0.0015608740894901144,"{""macro_f1"":0.0015608740894901144,""top1_accuracy"":0.09375,""top5_accuracy"":0.1875,""validation_loss"":4.764331579208374,""weighted_f1"":0.01814516129032258}",2.966385199993965,212.44384765625,475516,results/task1/task1-cnn-task1_rgb_60x80_no_aug_v1-f0-s2753-b1eeefd8c735/checkpoint.pt,88203ac24c5367be5507d2448aa6a62178614245b4944c62e20ef92d1d1d1278,results/task1/task1-cnn-task1_rgb_60x80_no_aug_v1-f0-s2753-b1eeefd8c735/predictions.csv,82600df8bb721567b4586159966d0a22ddd0d10f0ad70f5213be6144e553117d,results/task1/task1-cnn-task1_rgb_60x80_no_aug_v1-f0-s2753-b1eeefd8c735/history.csv,77e8ecc329e495290ab4c3ca841e3321c6f5f66c67557d80d657b4ef1c6cf9b2,completed,,,2026-09-02T14:39:18Z,2026-09-02T14:39:21Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\Documents\\MLA2\\.venv\\Scripts\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.10"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-caafa234049e,task1,smoke,task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance,task1_hog_knn_v1,false,false,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,399e24e17eeaa4430684bb02c021ddf0a37a832f1585513cc83dabf5470d4e2f,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c9cdbeea0e198c6017262056baaaf00a75d455bbcb42402169b799377d6a7760,task1_gray_hog_ppc16_v1,not_applicable,,,,macro_f1_124,0.03955104035749196,"{""macro_f1"":0.03955104035749196,""top1_accuracy"":0.65625,""top5_accuracy"":0.90625,""weighted_f1"":0.6453192640692641}",2.405571899995266,,,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-caafa234049e/model.pkl,810b82907e4ddd81c0bbe47686d72f108a120a078e97f3146d789776f9d7380d,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-caafa234049e/predictions.csv,299ec77f8c0245c992d83684f588b1b0f93e3720837327bf5901d72113040166,,,completed,,,2026-09-02T14:39:22Z,2026-09-02T14:39:24Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\Documents\\MLA2\\.venv\\Scripts\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.10"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-b49c4253ba67,task1,smoke,task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal,task1_hog_linear_svm_v1,false,false,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,2d7e363126341c853f784ad45b6ab422b0a80217484420f4a48b8d9caab0894a,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c9cdbeea0e198c6017262056baaaf00a75d455bbcb42402169b799377d6a7760,task1_gray_hog_ppc16_v1,not_applicable,,,,macro_f1_124,0.04071087216248506,"{""macro_f1"":0.04071087216248506,""top1_accuracy"":0.6875,""top5_accuracy"":0.90625,""weighted_f1"":0.6123842592592592}",0.4678122000041185,,,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-b49c4253ba67/model.pkl,fbf146cfa8fcb3e4edb80d44d3f695ffe4383c8d26ba0b2d170836961a817137,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-b49c4253ba67/predictions.csv,d343ba8105b44e48a3df8beb2e36ec9d3ae53cc920f591eecf8906f66f1328af,,,completed,,,2026-09-02T14:39:24Z,2026-09-02T14:39:25Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\Documents\\MLA2\\.venv\\Scripts\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.10"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-39fa1b99f3d0,task1,experiment,task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance,task1_hog_knn_v1,false,true,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,f3e3a6539caac17cc58f5c1eea8e6edbfdc5bbaaa4d341646dbf50c56fd778a6,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c9cdbeea0e198c6017262056baaaf00a75d455bbcb42402169b799377d6a7760,task1_gray_hog_ppc16_v1,not_applicable,,,,macro_f1_124,0.43427549459768827,"{""macro_f1"":0.43427549459768827,""top1_accuracy"":0.7591942621699985,""top5_accuracy"":0.9032504196551198,""weighted_f1"":0.7441183636497208}",48.78736930000014,,,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-39fa1b99f3d0/model.pkl,743dc993a2c4154bb39b946fa11729c4359f94b9991505f06a79c98031f59dc3,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-39fa1b99f3d0/predictions.csv,b8445c0957219c4d2d7997a36bfca8fffb0ad720ca3ababdef2e9d21317650ff,,,completed,,,2026-09-02T14:39:37Z,2026-09-02T14:40:26Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\Documents\\MLA2\\.venv\\Scripts\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.10"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-e7fce0a61221,task1,experiment,task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal,task1_hog_linear_svm_v1,false,true,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,b6c04402591ee551926826e5efce74cb591f01cf19334bdbe77aacc6a71e02ee,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c9cdbeea0e198c6017262056baaaf00a75d455bbcb42402169b799377d6a7760,task1_gray_hog_ppc16_v1,not_applicable,,,,macro_f1_124,0.40234819142832245,"{""macro_f1"":0.40234819142832245,""top1_accuracy"":0.7564474286586297,""top5_accuracy"":0.9471997558370212,""weighted_f1"":0.7351524549388213}",39.18547319999925,,,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-e7fce0a61221/model.pkl,269de6b86f1f6aa3a835ad447bc247a4e2643cb8f359a7542c05fe240ecdc7ff,results/task1/classical/task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-e7fce0a61221/predictions.csv,ac140591d7a063844f6affa48b22c222dec6ba34795f3518648b3ffe49e51ee8,,,completed,,,2026-09-02T14:40:27Z,2026-09-02T14:41:06Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\Documents\\MLA2\\.venv\\Scripts\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.10"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-classical-task1_gray_hog_ppc10_v1-knn-k5-distance-f0-s2753-5a9df73bd7f9,task1,experiment,task1-classical-task1_gray_hog_ppc10_v1-knn-k5-distance,task1_hog_knn_v1,false,true,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,cb21ace1cc14a6997623dd12fe06c0d21abc4bd817221d494ab3ce281a790fed,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c9cdbeea0e198c6017262056baaaf00a75d455bbcb42402169b799377d6a7760,task1_gray_hog_ppc10_v1,not_applicable,,,,macro_f1_124,0.4700810913990897,"{""macro_f1"":0.4700810913990897,""top1_accuracy"":0.7974973294674195,""top5_accuracy"":0.9232412635434152,""weighted_f1"":0.7854767085277484}",52.60462729999563,,,results/task1/classical/task1-classical-task1_gray_hog_ppc10_v1-knn-k5-distance-f0-s2753-5a9df73bd7f9/model.pkl,500223ac76f101a7cc5761968a642087d58422925ab6cb0b75475fe7d280e22a,results/task1/classical/task1-classical-task1_gray_hog_ppc10_v1-knn-k5-distance-f0-s2753-5a9df73bd7f9/predictions.csv,da2a44ed662c7f04089710572aeefdad97b3887e366d4adc575ad3c2bb34e81a,,,completed,,,2026-09-02T14:41:07Z,2026-09-02T14:41:59Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\Documents\\MLA2\\.venv\\Scripts\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.10"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c1-normal-f0-s2753-300e27e09fe8,task1,experiment,task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c1-normal,task1_hog_linear_svm_v1,false,true,true,0,2753,3a3dd74a1eb97b674d6594730fa7918e92aede1f,true,7623362eaa976837605812f2ea37472c55f41f4b5730fbde6b5936811d4f93d5,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,88d32ad9a4509292b339baedbe7f21f3161ee0e25e4c753315518fb5b342c353,c9cdbeea0e198c6017262056baaaf00a75d455bbcb42402169b799377d6a7760,task1_gray_hog_ppc10_v1,not_applicable,,,,macro_f1_124,0.45103358880883054,"{""macro_f1"":0.45103358880883054,""top1_accuracy"":0.798870746223104,""top5_accuracy"":0.9357546162063177,""weighted_f1"":0.7890568883965753}",172.83809250000195,,,results/task1/classical/task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c1-normal-f0-s2753-300e27e09fe8/model.pkl,b1cad165b997bae6ed5baaee091b2e3f5c74179942d4d18d143a254615f7f8d7,results/task1/classical/task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c1-normal-f0-s2753-300e27e09fe8/predictions.csv,50e1038b4072a0af8e89ad4eb26c1e500aae027f297df8b9f13d65152600b0a4,,,completed,,,2026-09-02T14:42:00Z,2026-09-02T14:44:53Z,"{""cuda_available"":true,""cuda_runtime"":""13.0"",""cudnn_version"":92000,""executable"":""C:\\Users\\Khoa\\Documents\\MLA2\\.venv\\Scripts\\python.exe"",""gpu"":{""capability"":[7,5],""name"":""NVIDIA GeForce RTX 2070 SUPER"",""total_memory_bytes"":8589606912},""logical_cpu_count"":12,""packages"":{""numpy"":""2.5.2"",""pandas"":""3.0.5"",""pillow"":""12.3.0"",""scikit-image"":""0.26.0"",""scikit-learn"":""1.9.0"",""torch"":""2.12.1+cu130"",""torchvision"":null},""physical_cpu_count"":6,""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 165 Stepping 3, GenuineIntel"",""python"":""3.12.10"",""python_implementation"":""CPython"",""total_ram_bytes"":17084026880}"
