gender,articleType,n,correct,recall,fold
Men,Gloves,6,6,1.0,0
Men,Handbags,1,1,1.0,0
Men,Heels,1,1,1.0,0
Men,Innerwear Vests,158,157,0.9936708860759493,0
Men,Jackets,120,120,1.0,0
Men,Jeans,207,206,0.9951690821256038,0
Men,Kurtas,45,45,1.0,0
Men,Kurtis,2,2,1.0,0
Men,Laptop Bag,12,6,0.5,0
Men,Lounge Pants,22,22,1.0,0
Men,Lounge Shorts,16,15,0.9375,0
Men,Messenger Bag,9,6,0.6666666666666666,0
Men,Mufflers,22,21,0.9545454545454546,0
Men,Nehru Jackets,4,4,1.0,0
Men,Night suits,10,10,1.0,0
Men,Perfume and Body Mist,212,206,0.9716981132075472,0
Men,Rain Trousers,1,1,1.0,0
Men,Ring,25,25,1.0,0
Men,Sandals,486,486,1.0,0
Men,Scarves,27,25,0.9259259259259259,0
Men,Shirts,1852,1851,0.9994600431965442,0
Men,Shoe Accessories,2,2,1.0,0
Men,Shorts,251,251,1.0,0
Men,Socks,316,312,0.9873417721518988,0
Men,Sports Sandals,18,18,1.0,0
Men,Sports Shoes,1057,1050,0.9933774834437086,0
Men,Sunglasses,412,408,0.9902912621359223,0
Men,Suspenders,28,28,1.0,0
Men,Sweaters,134,134,1.0,0
Men,Sweatshirts,149,149,1.0,0
Men,Ties,145,145,1.0,0
Men,Tights,1,1,1.0,0
Men,Tops,1,1,1.0,0
Men,Track Pants,141,140,0.9929078014184397,0
Men,Tracksuits,19,19,1.0,0
Men,Trousers,282,281,0.9964539007092199,0
Men,Trunk,96,96,1.0,0
Men,Tshirts,3449,3439,0.9971006088721368,0
Men,Tunics,1,1,1.0,0
Men,Waist Pouch,1,1,1.0,0
Men,Waistcoat,5,5,1.0,0
Men,Wallets,277,269,0.9711191335740073,0
Men,Watches,869,863,0.9930955120828538,0
Men,Water Bottle,2,2,1.0,0
Unisex,Backpacks,421,417,0.9904988123515439,0
Unisex,Basketballs,9,9,1.0,0
Unisex,Belts,7,0,0.0,0
Unisex,Caps,95,93,0.9789473684210527,0
Unisex,Casual Shoes,147,117,0.7959183673469388,0
Unisex,Cushion Covers,1,1,1.0,0
Unisex,Deodorant,2,0,0.0,0
Unisex,Duffel Bag,54,50,0.9259259259259259,0
Unisex,Flip Flops,101,84,0.8316831683168316,0
Unisex,Footballs,5,5,1.0,0
Unisex,Fragrance Gift Set,1,0,0.0,0
Unisex,Free Gifts,1,1,1.0,0
Unisex,Handbags,42,28,0.6666666666666666,0
Unisex,Hat,2,2,1.0,0
Unisex,Headband,4,3,0.75,0
Unisex,Jackets,1,0,0.0,0
Unisex,Key chain,1,0,0.0,0
Unisex,Laptop Bag,35,32,0.9142857142857143,0
Unisex,Messenger Bag,21,20,0.9523809523809523,0
Unisex,Mobile Pouch,4,2,0.5,0
Unisex,Mufflers,1,1,1.0,0
Unisex,Perfume and Body Mist,5,1,0.2,0
Unisex,Rain Jacket,1,1,1.0,0
Unisex,Rucksacks,8,8,1.0,0
Unisex,Sandals,63,51,0.8095238095238095,0
Unisex,Scarves,4,3,0.75,0
Unisex,Shoe Accessories,14,6,0.42857142857142855,0
Unisex,Shoe Laces,1,1,1.0,0
Unisex,Socks,47,32,0.6808510638297872,0
Unisex,Sports Shoes,30,13,0.43333333333333335,0
Unisex,Sunglasses,95,83,0.8736842105263158,0
Unisex,Sweatshirts,1,0,0.0,0
Unisex,Swimwear,4,2,0.5,0
Unisex,Tablet Sleeve,1,0,0.0,0
Unisex,Track Pants,1,0,0.0,0
Unisex,Travel Accessory,6,6,1.0,0
Unisex,Trolley Bag,3,3,1.0,0
Unisex,Tshirts,48,40,0.8333333333333334,0
Unisex,Waist Pouch,11,11,1.0,0
Unisex,Wallets,15,3,0.2,0
Unisex,Watches,88,62,0.7045454545454546,0
Unisex,Water Bottle,6,5,0.8333333333333334,0
Unisex,Wristbands,4,3,0.75,0
Women,Baby Dolls,2,2,1.0,0
Women,Backpacks,27,23,0.8518518518518519,0
Women,Bangle,18,18,1.0,0
Women,Belts,176,171,0.9715909090909091,0
Women,Blazers,1,1,1.0,0
Women,Bra,202,202,1.0,0
Women,Bracelet,28,28,1.0,0
Women,Briefs,107,106,0.9906542056074766,0
Women,Camisoles,10,10,1.0,0
Women,Capris,80,78,0.975,0
Women,Caps,16,15,0.9375,0
Women,Casual Shoes,215,205,0.9534883720930233,0
Women,Churidar,14,14,1.0,0
Women,Clutches,152,152,1.0,0
Women,Compact,4,4,1.0,0
Women,Concealer,2,2,1.0,0
Women,Deodorant,73,68,0.9315068493150684,0
Women,Dresses,190,187,0.9842105263157894,0
Women,Duffel Bag,4,4,1.0,0
Women,Dupatta,80,80,1.0,0
Women,Earrings,125,125,1.0,0
Women,Eyeshadow,2,2,1.0,0
Women,Flats,287,284,0.9895470383275261,0
Women,Flip Flops,146,144,0.9863013698630136,0
Women,Foundation and Primer,7,7,1.0,0
Women,Fragrance Gift Set,17,17,1.0,0
Women,Free Gifts,19,17,0.8947368421052632,0
Women,Handbags,935,933,0.9978609625668449,0
Women,Heels,710,709,0.9985915492957746,0
Women,Highlighter and Blush,4,4,1.0,0
Women,Innerwear Vests,1,1,1.0,0
Women,Ipad,1,1,1.0,0
Women,Jackets,32,31,0.96875,0
Women,Jeans,138,138,1.0,0
Women,Jeggings,18,18,1.0,0
Women,Jewellery Set,32,32,1.0,0
Women,Jumpsuit,8,8,1.0,0
Women,Kajal and Eyeliner,8,8,1.0,0
Women,Kurta Sets,49,49,1.0,0
Women,Kurtas,1009,1009,1.0,0
Women,Kurtis,137,137,1.0,0
Women,Laptop Bag,8,7,0.875,0
Women,Leggings,91,91,1.0,0
Women,Lip Gloss,4,4,1.0,0
Women,Lip Liner,9,9,1.0,0
Women,Lip Plumper,2,2,1.0,0
Women,Lipstick,10,10,1.0,0
Women,Lounge Pants,14,14,1.0,0
Women,Lounge Shorts,7,7,1.0,0
Women,Lounge Tshirts,1,1,1.0,0
Women,Mobile Pouch,28,28,1.0,0
Women,Mufflers,3,3,1.0,0
Women,Nail Polish,12,12,1.0,0
Women,Necklace and Chains,43,43,1.0,0
Women,Night suits,38,38,1.0,0
Women,Nightdress,27,27,1.0,0
Women,Patiala,19,19,1.0,0
Women,Pendant,100,100,1.0,0
Women,Perfume and Body Mist,162,156,0.9629629629629629,0
Women,Ring,54,54,1.0,0
Women,Robe,2,2,1.0,0
Women,Salwar,19,19,1.0,0
Women,Salwar and Dupatta,5,5,1.0,0
Women,Sandals,1,0,0.0,0
Women,Sarees,104,104,1.0,0
Women,Scarves,44,44,1.0,0
Women,Shapewear,2,2,1.0,0
Women,Shirts,186,186,1.0,0
Women,Shorts,44,43,0.9772727272727273,0
Women,Shrug,2,2,1.0,0
Women,Skirts,64,64,1.0,0
Women,Socks,54,51,0.9444444444444444,0
Women,Sports Sandals,26,24,0.9230769230769231,0
Women,Sports Shoes,263,247,0.9391634980988594,0
Women,Stockings,14,14,1.0,0
Women,Stoles,62,62,1.0,0
Women,Sunglasses,204,201,0.9852941176470589,0
Women,Sweaters,54,54,1.0,0
Women,Sweatshirts,40,39,0.975,0
Women,Swimwear,8,8,1.0,0
Women,Tablet Sleeve,1,1,1.0,0
Women,Tights,5,5,1.0,0
Women,Tops,940,935,0.9946808510638298,0
Women,Track Pants,58,57,0.9827586206896551,0
