candidate,experiment_id,seed,true_label,selection_group,selection_rank,id,fold,predicted_label,calibrated_confidence,calibrated_true_probability,run_id,path,image_sha256,articleType,year,productDisplayName,article_type_shortcut,acquisition_year,file_size_quartile,product_family_size,image_mode
C2,g3-c2-t0-resnet18,2753,Fall,correct,1,17534,4,Fall,0.9987268241422588,0.9987268241422588,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/17534.jpg,962c25947e796c6edc0d9202059c20a9c6b7e3506c1d3c51402de35dbe1a1254,Shirts,2011,Mark Taylor Men Solid Blue Shirt,aligned,dominant_2011_2012,q2,singleton,rgb
C2,g3-c2-t0-resnet18,2753,Fall,correct,2,8017,4,Fall,0.9985632223746934,0.9985632223746934,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/8017.jpg,921e285b5ac7aad14b0c88d18a1365305b40ebce96c7ca1e9012603c1e013d4e,Tshirts,2011,Fila Men's Round Neck Black White T-shirt,conflict,dominant_2011_2012,q1_smallest,singleton,rgb
C2,g3-c2-t0-resnet18,2753,Fall,correct,3,15019,4,Fall,0.998079966903555,0.998079966903555,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/15019.jpg,b3106452d9aea663e80a1a7192e98e00604669a138a6ec09e029f7b87fa982bf,Sweatshirts,2011,ADIDAS Men Printed Black Sweatshirts,aligned,dominant_2011_2012,q1_smallest,multirow,rgb
C2,g3-c2-t0-resnet18,2753,Fall,incorrect,1,12850,3,Summer,0.9944900620523486,0.0051840685882488,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,data/raw/teacher/train/images_train/12850.jpg,573001dfaffd7864921412721b6662203783f6c05e199bd4c870e4041216f58e,Tops,2011,Ant Kids Girl Cheerful Green Tops,conflict,dominant_2011_2012,q1_smallest,singleton,rgb
C2,g3-c2-t0-resnet18,2753,Fall,incorrect,2,40583,4,Summer,0.99428152896895,0.0039204359984712,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/40583.jpg,e3d767ad420e3fa8c01b1d03e9b326438a541cd6ea9c3b11bc87aa4792e200b2,Kurtas,2012,Aurelia Women Pink Printed Kurta,conflict,dominant_2011_2012,q2,multirow,rgb
C2,g3-c2-t0-resnet18,2753,Fall,incorrect,3,19264,1,Winter,0.9928921000452584,0.0009424543497638,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,data/raw/teacher/train/images_train/19264.jpg,95c3de68438e773c9ef98d2577b25e9020c69cfb2997e598523e6d7cfaa18724,Watches,2012,Guess Women Mini Prism Black Watch,conflict,dominant_2011_2012,q1_smallest,multirow,rgb
C2,g3-c2-t0-resnet18,2753,Spring,correct,1,23578,1,Spring,0.999994169993684,0.999994169993684,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,data/raw/teacher/train/images_train/23578.jpg,7ab9d6278a422112caad446f6e2cbd38d2df63772603b54980f80398e4901f73,Fragrance Gift Set,2017,Nike Unisex Set of 3 Fragrance Gift Set,aligned,other_years,q3,singleton,rgb
C2,g3-c2-t0-resnet18,2753,Spring,correct,2,23593,1,Spring,0.9999786588554748,0.9999786588554748,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,data/raw/teacher/train/images_train/23593.jpg,5e4d7c5579dbd49d04d15cc09f4b03d83731290aa589d5486b1648a19e4c3253,Deodorant,2017,Nike Fragrances Men Pack Of 3 Deos,aligned,other_years,q4_largest,singleton,rgb
C2,g3-c2-t0-resnet18,2753,Spring,correct,3,23617,3,Spring,0.9999780703361056,0.9999780703361056,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,data/raw/teacher/train/images_train/23617.jpg,65c28ac82c62f06e9a3a64ee0e6075dd149a3dd059aac1d1d92c6d9e810d1940,Fragrance Gift Set,2017,Nike Fragrances Women Orange Blue Fantasy Pack of 3 Perfumes,aligned,other_years,q4_largest,singleton,rgb
C2,g3-c2-t0-resnet18,2753,Spring,incorrect,1,19298,4,Winter,0.9948796795396349,1.5288157445350435e-05,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/19298.jpg,8707974ff38f847a0677f67102231ed4bdf1185588a30003400e2e930abee304,Watches,2013,Guess Women Puffy G Black Watch,conflict,other_years,q1_smallest,singleton,rgb
