id,usage,gender,original_mask_fallback,foreground_fraction,shift_grid_mean_removed_foreground,shift_grid_worst_removed_foreground,crop10pct_removed_foreground,center8x8_erased_foreground,bright115_newly_clipped_foreground_channel_fraction,dark090_near_white_fraction,original_near_white_fraction
1559,Travel,Unisex,True,1.0,0.0347,0.0575,0.36,0.013333333333333334,0.03854166666666667,0.0,0.0
1565,Travel,Unisex,True,1.0,0.0347,0.0575,0.36,0.013333333333333334,0.035069444444444445,0.0,0.0
1598,Travel,Women,True,1.0,0.0347,0.0575,0.36,0.013333333333333334,0.04881944444444444,0.0,0.00020833333333333335
1648,Travel,Women,True,1.0,0.0347,0.0575,0.36,0.013333333333333334,0.03347222222222222,0.0,0.0
1902,Sports,Men,False,0.445,0.006741573033707865,0.02247191011235955,0.1254681647940075,0.0299625468164794,0.06928838951310862,0.0,0.5622916666666666
2108,Sports,Men,False,0.3304166666666667,0.0012610340479192938,0.0031525851197982345,0.11916771752837327,0.0037831021437578815,0.0937368642286675,0.0,0.6704166666666667
2245,Sports,Women,False,0.518125,0.006433453960595094,0.021712907117008445,0.14314435062324085,0.025733815842380377,0.45905374614662914,0.0,0.6164583333333333
2246,Sports,Unisex,False,0.39895833333333336,0.0005221932114882506,0.001566579634464752,0.013054830287206266,0.03342036553524804,0.06771105308964316,0.0,0.6022916666666667
2276,Sports,Men,False,0.5241666666666667,0.002225755166931637,0.0047694753577106515,0.053656597774244835,0.025437201907790145,0.05325914149443561,0.0,0.4775
2300,Sports,Women,False,0.42291666666666666,0.00029556650246305416,0.0009852216748768472,0.005911330049261084,0.03152709359605911,0.451888341543514,0.0,0.5802083333333333
2704,Casual,Girls,False,0.44583333333333336,0.0,0.0,0.0051401869158878505,0.029906542056074768,0.7099688473520249,0.0,0.6610416666666666
2730,Casual,Girls,False,0.3770833333333333,0.0,0.0,0.014917127071823204,0.03535911602209945,0.24640883977900552,0.0,0.6235416666666667
2982,Casual,Women,False,0.484375,0.009720430107526882,0.03225806451612903,0.14967741935483872,0.027526881720430108,0.3113978494623656,0.0,0.5366666666666666
3103,Casual,Men,False,0.4666666666666667,0.008749999999999999,0.026785714285714284,0.14464285714285716,0.02857142857142857,0.07574404761904761,0.0,0.5335416666666667
3131,Casual,Men,False,0.515,0.00744336569579288,0.024676375404530743,0.12419093851132686,0.025889967637540454,0.14023732470334413,0.0,0.5008333333333334
3254,Casual,Women,False,0.17895833333333333,0.0,0.0,0.0,0.07450523864959255,0.5153279006596818,0.0,0.8254166666666667
3295,Sports,Men,False,0.2325,0.0,0.0,0.016129032258064516,0.05734767025089606,0.39904420549581837,0.0,0.7685416666666667
3469,Sports,Unisex,False,0.62,0.01528225806451613,0.04771505376344086,0.18884408602150538,0.021505376344086023,0.14706541218637992,0.0,0.38166666666666665
3574,Casual,Women,False,0.19020833333333334,0.0,0.0,0.0,0.0700985761226725,0.0397955458196422,0.0,0.8097916666666667
3588,Casual,Unisex,False,0.19854166666666667,0.0,0.0,0.014690451206715634,0.06610703043022036,0.428471493529206,0.0,0.8020833333333334
3620,Casual,Women,False,0.133125,0.0,0.0,0.01564945226917058,0.07981220657276995,0.06207616066770996,0.0,0.8675
3798,Casual,Men,False,0.249375,0.0,0.0,0.026733500417710943,0.053467000835421885,0.15037593984962405,0.0,0.7508333333333334
3819,Casual,Girls,False,0.225,0.0,0.0,0.0,0.05925925925925926,0.2518518518518518,0.0,0.776875
3825,Casual,Unisex,False,0.215625,0.0,0.0,0.021256038647342997,0.06183574879227053,0.1294685990338164,0.0,0.806875
3834,Casual,Girls,True,1.0,0.0347,0.0575,0.36,0.013333333333333334,0.06673611111111111,0.0,0.0
3862,Casual,Men,False,0.47791666666666666,0.0076721883173496075,0.025283347863993024,0.14428945074106364,0.02789886660854403,0.24891020052310375,0.0,0.5283333333333333
